epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.63647,1.55633,3.14928,1.80906,0.00178,0.6,0.05518,0.0243,1.91587,3.33651,2.13687,0,0,0
2,2.33424,1.25731,3.75888,2.30583,0.00244,0.7,0.0552,0.0231,1.91474,3.33775,2.14391,1.6615e-05,1.6615e-05,1.6615e-05
3,2.80566,1.61595,3.38541,2.13394,0.00243,0.7,0.05696,0.0243,1.90364,3.33814,2.12832,3.312e-05,3.312e-05,3.312e-05
4,3.39156,1.47393,3.14233,1.72922,0.00178,0.6,0.07955,0.044,1.80261,3.33479,2.06114,4.95149e-05,4.95149e-05,4.95149e-05
5,4.02015,1.68782,3.21582,2.10168,0.00242,0.7,0.07056,0.04153,1.81258,3.34047,2.06171,6.57998e-05,6.57998e-05,6.57998e-05
6,4.66845,1.385,3.0718,1.6944,0.00178,0.6,0.07335,0.04349,1.68668,3.31386,2.03828,8.19747e-05,8.19747e-05,8.19747e-05
7,5.24057,1.29046,3.21435,1.86206,0.00178,0.6,0.10318,0.06432,1.81941,3.30559,2.19053,9.80396e-05,9.80396e-05,9.80396e-05
8,5.84725,0.91491,3.6229,1.6873,0.00178,0.6,0.10754,0.06209,2.03582,3.30441,2.29808,0.000113994,0.000113994,0.000113994
9,6.47382,1.18252,2.71655,1.40661,0.00178,0.6,0.14233,0.07333,2.10052,3.27492,2.33102,0.000129839,0.000129839,0.000129839
10,7.1226,1.62212,3.11727,2.28636,0.00178,0.6,0.18547,0.08632,2.23696,3.31671,2.40302,0.000145574,0.000145574,0.000145574
11,7.86001,1.10566,2.37553,1.34775,0.00178,0.6,0.24463,0.14237,2.17923,3.39187,2.45941,0.000161199,0.000161199,0.000161199
12,8.51661,0.98073,2.43636,1.2196,0.00178,0.6,0.4415,0.26426,2.11802,3.3285,2.40867,0.000176714,0.000176714,0.000176714
13,9.18608,1.65587,2.39296,1.709,0.00179,0.6,0.50348,0.34422,1.98567,3.23638,2.35523,0.000192118,0.000192118,0.000192118
